Population,Bolt_Bool,Frequency,Avg_1C.value,Estimated_Ploidy,Latitude,Longitude,Elevation,Soil_Thickness,CHILI,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,RH,DD1040,MAP_var,MSP_var,AHM_var,SHM_var,DD_0_var,DD5_var,DD_18_var,NFFD_var,PPT_wt_var,PPT_sp_var,PPT_sm_var,PPT_at_var,Tave_sp_var,Tave_sm_var,Tave_at_var,MAT_var,PPT_wt,PPT_sp,PPT_sm,PPT_at,PAS_wt,NFFD_sm,Tmin_sm,DD_18_at,DD_18_wt,DD18_at,DD18_sm,RH_wt,RH_sp,RH_sm,RH_at,MAT_ssp370,AHM_ssp370,SHM_ssp370,MAT_ssp585,AHM_ssp585,SHM_ssp585,MAT_fvar,AHM_fvar,SHM_fvar
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
34a Road,0,0.020833333,4.61,4x,41.89043,-119.3018,1931.46,1,208,6.6,18.2,-2,20.2,289,89,57.5,203.4,378,1556,4210,86,175,160,266,106,65,-29.1,37.2,829,632,57,731,3643.816092,1040.667816,176.5712759,8431.25269,7108.874713,22288.92414,48248.32759,129.1367816,1318.809195,1384.005747,421.6103448,463.6551724,1.828505747,1.325988506,0.8514482759,0.4397241379,90,97,39,63,37,89,7.5,985,1753,10,75,64,57,50,56,8.9,60.8,206.9,9.2,61.6,210.1,0.2977126437,7.995965517,737.739954
